Date,AAPL,GOOGL,AMZN,FB,NFLX,MSFT,JPM,BAC,GS,CSGN,TSLA,GM,PG,WMT,TGT,SP500
9/30/16,28.263,804.06,837.31,128.27,98.55,57.6,66.59,15.65,161.27,12.2641,40.806,31.77,89.75,72.12,68.68,2168.27
10/31/16,28.385,809.9,789.82,130.99,124.87,59.92,69.26,16.5,178.24,13.3352,39.546,31.6,86.8,70.02,68.73,2126.15
11/30/16,27.63,775.88,750.57,118.42,117,60.26,80.17,21.12,219.29,13.0457,37.88,34.53,82.46,70.43,77.24,2198.81
12/30/16,28.955,792.45,749.87,115.05,123.8,62.14,86.29,22.1,239.45,14.0975,42.738,34.84,84.08,69.12,72.23,2238.83
1/31/17,30.338,820.19,823.48,130.32,140.71,64.65,84.63,22.64,229.32,14.4642,50.386,36.61,87.6,66.74,64.48,2278.87
2/28/17,34.248,844.93,845.04,135.54,142.13,63.98,90.62,24.68,248.06,14.6185,49.998,36.84,91.07,70.93,58.77,2363.64
3/31/17,35.915,847.8,886.54,142.05,147.81,65.86,87.84,23.59,229.72,14.3773,55.66,35.36,89.85,72.08,55.19,2362.72
4/28/17,35.913,924.52,924.99,150.25,152.2,68.46,87,23.34,223.8,14.5992,62.814,34.64,87.33,75.18,55.85,2384.2
5/31/17,38.19,987.09,994.62,151.46,163.07,69.84,82.15,22.41,211.26,13.3,68.202,33.93,88.09,78.6,55.15,2411.8
6/30/17,36.005,929.68,968,150.98,149.41,68.93,91.4,24.26,221.9,13.86,72.322,34.93,87.15,75.68,52.29,2423.41
7/31/17,37.183,945.5,987.78,169.25,181.66,72.7,91.8,24.12,225.33,14.88,64.694,35.98,90.82,79.99,56.67,2470.3
8/31/17,41,955.24,980.6,171.97,174.71,74.77,90.89,23.89,223.74,14.1,71.18,36.54,92.27,78.07,54.53,2471.65
9/29/17,38.53,973.72,961.35,170.87,181.35,74.49,95.51,25.34,237.19,15.33,68.22,40.38,90.98,78.14,59.01,2519.36
10/31/17,42.26,1033.04,1105.28,180.06,196.43,83.18,100.61,27.39,242.48,15.73,66.306,42.98,86.34,87.31,59.04,2575.26
11/30/17,42.963,1036.17,1176.75,177.18,187.58,84.17,104.52,28.17,247.64,16.66,61.77,43.09,89.99,97.23,59.9,2647.58
12/29/17,42.308,1053.4,1169.47,176.46,191.96,85.54,106.94,29.52,254.76,17.4,62.27,40.99,91.88,98.75,65.25,2673.61
1/31/18,41.858,1182.22,1450.89,186.89,270.3,95.01,115.67,32,267.89,17.96,70.862,42.41,86.34,106.6,75.22,2823.81
2/28/18,44.53,1103.92,1512.45,178.32,291.38,93.77,115.5,32.1,262.93,17.56,68.612,39.35,78.52,90.01,75.41,2713.83
3/30/18,41.945,1037.14,1447.34,159.79,295.35,91.27,109.97,29.99,251.86,15.99,53.226,36.34,79.28,88.97,69.43,2640.87
4/30/18,41.315,1018.58,1566.13,172,312.46,93.52,108.78,29.92,238.33,16.795,58.78,36.74,72.34,88.46,72.6,2648.05
5/31/18,46.718,1100,1629.62,191.78,351.6,98.84,107.01,29.04,225.88,15.02,56.946,42.7,73.17,82.54,72.89,2705.27
6/29/18,46.278,1129.19,1699.8,194.32,391.43,98.61,104.2,28.19,220.57,14.95,68.59,39.4,78.06,85.65,76.12,2718.37
7/31/18,47.573,1227.22,1777.44,172.58,337.45,106.08,114.95,30.88,237.43,15.97,59.628,37.91,80.88,89.23,80.68,2816.29
8/31/18,56.908,1231.8,2012.71,175.73,367.68,112.33,114.58,30.93,237.81,14.515,60.332,36.05,82.95,95.86,87.5,2901.52
9/28/18,56.435,1207.08,2003,164.46,374.13,114.37,112.84,29.46,224.24,14.75,52.954,33.67,83.23,93.91,88.21,2913.98
10/31/18,54.715,1090.58,1598.01,151.79,301.78,106.81,109.02,27.5,225.37,13.22,67.464,36.59,88.68,100.28,83.63,2711.74
11/30/18,44.645,1109.65,1690.17,140.61,286.13,110.89,111.19,28.4,190.69,11.78,70.096,37.95,94.51,97.65,70.96,2760.17
12/31/18,39.435,1044.96,1501.97,131.09,267.66,101.57,97.62,24.64,167.05,10.8,66.56,33.45,91.92,93.15,66.09,2506.85
1/31/19,41.61,1125.89,1718.73,166.69,339.5,104.43,103.5,28.47,198.01,12.015,61.404,39.02,96.47,95.83,73,2704.1
2/28/19,43.288,1126.55,1639.83,161.45,358.1,112.03,104.36,29.08,196.7,12.345,63.976,39.48,98.55,98.99,72.64,2784.49
3/29/19,47.488,1176.89,1780.75,166.69,356.56,117.94,101.23,27.59,191.99,11.605,55.972,37.1,104.05,97.53,80.26,2834.4
4/30/19,50.168,1198.96,1926.52,193.4,370.54,130.6,116.05,30.58,205.92,13.6,47.738,38.95,106.48,102.84,77.42,2945.83
5/31/19,43.768,1106.5,1775.07,177.47,343.28,123.68,105.96,26.6,182.49,11.39,37.032,33.34,102.91,101.44,80.45,2752.06
6/28/19,49.48,1082.8,1893.63,193,367.32,133.96,111.8,29,204.6,11.705,44.692,38.53,109.65,110.49,86.61,2941.76
7/31/19,53.26,1218.2,1866.78,194.23,322.99,136.27,116,30.68,220.13,12.03,48.322,40.34,118.04,110.38,86.4,2980.38
8/30/19,52.185,1190.53,1776.29,185.67,293.75,137.86,109.86,27.51,203.91,11.565,45.122,37.09,120.23,114.26,107.04,2926.46
